title,year,authors,keywords
Text summarization with pretrained encoders,2020,"Liu, Yang, Lapata, Mirella",
Simultaneous Translation and Paraphrase for Language Education,2020,"Mayhew, Stephen, Bicknell, Klinton, Brust, Chris, McDowell, Bill, Monroe, Will, Settles, Burr",
Simple and effective text matching with richer alignment features,2020,"Yang, Runqi, Zhang, Jianhai, Gao, Xing, Ji, Feng, Chen, Haiqing",
Recipes for building an open-domain chatbot,2020,"Roller, Stephen, Dinan, Emily, Goyal, Naman, Ju, Da, Williamson, Mary, Liu, Yinhan, Xu, Jing, Ott, Myle, Shuster, Kurt, Smith, Eric M., Boureau, Y. Lan, Weston, Jason",
PLATO-2: Towards Building an Open-Domain Chatbot via Curriculum Learning,2020,"Bao, Siqi, He, Huang, Wang, Fan, Wu, Hua, Wang, Haifeng, Wu, Wenquan, Guo, Zhen, Liu, Zhibin, Xu, Xinchao",
How to retrain recommender system? A sequential meta-learning method,2020,"Zhang, Yang, Feng, Fuli, Wang, Chenxu, He, Xiangnan, Wang, Meng, Li, Yan, Zhang, Yongdong","Meta-Learning, Model Retraining, Recommendation"
"GECToR - Grammatical error correction: Tag, not rewrite",2020,"Omelianchuk, Kostiantyn, Atrasevych, Vitaliy, Chernodub, Artem, Skurzhanskyi, Oleksandr",
Fundamental differences in the radio properties of red and blue quasars: enhanced compact AGN emission in red quasars,2020,"Fawcett, V. A., Alexander, D. M., Rosario, D. J., Klindt, L., Fotopoulou, S., Lusso, E., Morabito, L., Rivera, G. Calistro",
ERNIE-GEN: An enhanced multi-flow pre-training and fine-tuning framework for natural language generation,2020,"Xiao, Dongling, Zhang, Han, Li, Yukun, Sun, Yu, Tian, Hao, Wu, Hua, Wang, Haifeng",
DDTCDR: Deep dual transfer cross domain recommendation,2020,"Li, Pan, Tuzhilin, Alexander","Autoencoder, Cross domain recommendation, Deep learning, Dual learning, Transfer learning"
Recommendation Systems,2019,"Lee, Joonseok",
